site;date;phase;stipe_length;stipe_circ;primary_length;primary_width;holdfast;cluster
Platboom;09/09/2017;after;555;7;17;3;Y;N
Platboom;09/09/2017;after;888;13;14;6;N;N
Platboom;09/09/2017;after;240;9;15;14;Y;N
Platboom;09/09/2017;after;375;9;16;4;Y;N
Platboom;09/09/2017;after;93;9;28;7;Y;N
Platboom;09/09/2017;after;160;29;16;13;N;N
Platboom;09/09/2017;after;1125;11;15;5;N;N
Platboom;09/09/2017;after;300;28;28;25;N;N
Platboom;09/09/2017;after;250;26;26;24;N;N
Platboom;09/09/2017;after;500;11;17;4;N;N
Platboom;09/09/2017;after;380;27;19;10;N;N
Platboom;09/09/2017;after;505;28;16;9;N;N
Platboom;09/09/2017;after;136;19;13;8;Y;Y
Platboom;09/09/2017;after;130;18;13;7;Y;Y
Platboom;09/09/2017;after;142;17;14;6;Y;Y
Platboom;09/09/2017;after;135;18;14;8;Y;Y
Platboom;09/09/2017;after;94;7;61;6;Y;N
Platboom;09/09/2017;after;770;20;15;11;Y;N
Platboom;09/09/2017;after;280;22;17;7;Y;N
Platboom;09/09/2017;after;725;18;19;12;Y;N
Platboom;09/09/2017;after;350;25;16;16;Y;N
Platboom;09/09/2017;after;120;10;29;5;Y;N
Platboom;09/09/2017;after;250;6;23;3;Y;N
Platboom;09/09/2017;after;71;27;13;10;N;N
Platboom;09/09/2017;after;410;39;30;29;N;N
Platboom;09/09/2017;after;340;9;10;3;N;N
Platboom;09/09/2017;after;750;35;34;24;N;N
Platboom;09/09/2017;after;400;17;15;12;N;N
Platboom;09/09/2017;after;875;44;26;21;N;N
Platboom;09/09/2017;after;360;12;11;5;N;N
Platboom;09/09/2017;after;850;33;19;16;Y;Y
Platboom;09/09/2017;after;110;9;16;3;Y;Y
Platboom;09/09/2017;after;250;7;29;3;Y;N
Platboom;09/09/2017;after;300;8;27;3;Y;N
Platboom;09/09/2017;after;440;6;35;2.5;Y;N
Platboom;09/09/2017;after;250;28;20;17;N;N
Platboom;09/09/2017;after;625;18;15;3;N;N
Platboom;09/09/2017;after;475;8;16;4;Y;N
Platboom;09/09/2017;after;1125;26;20;14;Y;Y
Platboom;09/09/2017;after;1100;34;20;18;N;N
Platboom;09/09/2017;after;875;27;28;24;N;N
Platboom;09/09/2017;after;250;34;19;12;Y;N
Platboom;09/09/2017;after;550;8;14;4;Y;N
Platboom;09/09/2017;after;370;24;19;13;Y;N
Platboom;09/09/2017;after;290;10;10;5;Y;Y
Longbeach;06/06/2017;before;355;34;16;20;N;N
Longbeach;06/06/2017;before;600;36;18;20;N;N
Longbeach;06/06/2017;before;294;30;16;12;N;N
